"Populatie"";""Kenmerken van huishoudens"";""Perioden"";""Regio's"";""Particuliere huishoudens (x 1 000)"";""Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)"";""Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)"";""Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)"";""Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Aa en Hunze"";11,4;42,5;38,8;62,3;53,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Aalsmeer"";14,3;52;39,9;77,2;56
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Aalten"";11,7;40,4;36,4;60,2;50,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Achtkarspelen"";12,1;36,2;33,6;53,8;46,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Alblasserdam"";8,5;41,7;36,4;63;50,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Albrandswaard"";10,6;51,2;43,7;78,4;63,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Alkmaar"";54,1;40,2;37;56,6;47,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Almelo"";33,6;39,2;33,4;56,1;43,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Almere"";95,8;41;38,2;60,8;53,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Alphen aan den Rijn"";50,5;43,9;39,5;64,4;54,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Alphen-Chaam"";4,4;48,2;41,2;73,3;59,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Altena"";23,7;43,2;38,3;65,9;55,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Ameland"";1,8;;33,6;;44,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Amersfoort"";72,4;43,5;39,6;63,2;53,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Amstelveen"";44,1;49,1;38,5;71,8;49,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Amsterdam"";498;43,8;33,8;58,4;40,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Apeldoorn"";75,9;42,5;37,1;60,7;49,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Arnhem"";83,9;36,7;33,1;50,4;40,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Assen"";32,4;38,3;35,6;54;45,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Asten"";7,4;44,1;37,7;66,1;52,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Baarle-Nassau"";3,1;42,4;37,4;62,7;49,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Baarn"";11,2;49,6;39,5;72;51,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Barendrecht"";19,7;48,1;42,6;73,6;62,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Barneveld"";23,6;44,4;38,6;69,6;58,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Beek (L.)"";7,6;40,4;37,3;57,8;49,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Beekdaelen"";16,3;42,1;37,8;60,8;51,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Beesel"";6;38,5;35,8;56,3;48,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Berg en Dal"";16,3;42,5;36,3;61,3;47,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bergeijk"";8,3;46,3;40,1;69,3;56,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bergen (L.)"";5,7;40,2;37;59,6;51,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bergen (NH.)"";14,1;57,1;39,7;81,6;51,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bergen op Zoom"";31,6;40;36,3;57,6;48,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Berkelland"";19,2;40,1;37,2;59,2;51,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bernheze"";13,5;47,7;39,3;73;55,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Best"";13,7;46,9;40,2;68,6;56,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Beuningen"";11,6;44,7;39,5;66,6;55,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Beverwijk"";19,6;39,7;36,7;56,9;47,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""De Bilt"";19,4;53,5;41,3;78,8;55,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bladel"";9,1;43,7;39,1;65,3;54,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Blaricum"";5,3;93,1;44,3;142,3;62,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bloemendaal"";10;84,2;48,3;130,5;67,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bodegraven-Reeuwijk"";15,2;50,9;40,7;75,9;58,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Boekel"";4,5;43,7;39,3;67,3;57,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Borger-Odoorn"";11,5;39,9;36,6;58,5;50,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Borne"";10,4;42,9;38,7;64,4;54,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Borsele"";9,8;45;38,5;67,2;54,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Boxtel"";15,2;43,6;37,5;63,9;50,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Breda"";90,7;42,8;36,8;60,7;46,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bronckhorst"";15,7;44;38,6;65,4;54,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Brummen"";9,4;44;38,4;64;53,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Brunssum"";13,7;35,9;33,1;49,7;41,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bunnik"";6,9;49,4;43,8;73,3;62,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Bunschoten"";8,8;46,1;39,7;71,7;60,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Buren"";11,7;45,4;40,2;68,7;58,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Capelle aan den IJssel"";31,7;39,9;36;56,7;46,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Castricum"";16,2;48,6;42,2;70,8;57,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Coevorden"";15,8;39,5;36,4;57,6;48,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Cranendonck"";9,1;43,8;38,3;64,3;52,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Culemborg"";13,1;43,2;39,2;63,3;54,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dalfsen"";12,2;42,9;39,2;65,1;56,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dantumadiel"";8;36,7;33,2;55,3;46,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Delft"";60,4;34;30,3;45,6;35
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Deurne"";14,4;41,9;37,6;62,1;51,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Deventer"";48,1;39;35,7;55,6;46,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Diemen"";15,9;40,6;37,5;56,8;47,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dijk en Waard"";37,8;43;39,3;64,1;55,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dinkelland"";10,7;46,2;39,8;71,9;58,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Doesburg"";5,4;37,6;34,4;52,3;44,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Doetinchem"";26,7;41,3;36,2;60,2;48,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dongen"";11,8;42,3;38,8;62,5;54,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dordrecht"";57;40,4;36,1;57,5;46,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Drechterland"";8,7;43,8;39;65,9;54,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Drimmelen"";12,3;44,4;39,2;65,7;54,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Dronten"";19,2;40,2;37,4;59,2;52,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Druten"";8,3;43,9;38,5;64,6;54,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Duiven"";10,8;42,5;38,8;63,3;54,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Echt-Susteren"";14,5;40,8;37;59;49,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Edam-Volendam"";15,5;47,6;41,1;72,7;58,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Ede"";52,5;43,3;38,1;64,2;52,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Eemnes"";4,2;49,8;41,1;74,5;57,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Eemsdelta"";21;36,1;33,1;50,9;42,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Eersel"";8,5;48,7;40,9;73,3;58,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Eijsden-Margraten"";11,4;44,9;40,5;66,1;56,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Eindhoven"";125;39,5;34,7;54,2;41,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Elburg"";9,6;42,5;37,1;64,5;54,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Emmen"";50,1;37;33,7;53,2;44,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Enkhuizen"";8,8;41;35,5;58,4;45,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Enschede"";79,1;34,7;31,1;48,7;38,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Epe"";14,4;44,6;37,4;65,4;51,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Ermelo"";11,8;45,5;37,9;67,9;52,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Etten-Leur"";19,9;42;37,9;61,8;51,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""De Fryske Marren"";22,6;40,9;36,6;60;50,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Geertruidenberg"";9,8;43,4;37,4;63,1;51,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Geldrop-Mierlo"";18,3;44,3;38,3;64,9;52
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gemert-Bakel"";13,4;41,8;37,6;62,6;53,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gennep"";7,8;40,7;37,2;59,3;49,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gilze en Rijen"";11,4;42;38,2;62,4;52,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Goeree-Overflakkee"";22,2;44,3;38,4;65,7;53,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Goes"";18,6;45;36,3;63,8;47,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Goirle"";10,5;44,8;40,2;66,4;57,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gooise Meren"";27;57,7;42,5;85,9;56,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gorinchem"";17,4;40,9;36,3;59,2;48
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gouda"";35;40,4;37,1;57,4;48,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""'s-Gravenhage (gemeente)"";274;39,5;33,7;55,1;41,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Groningen (gemeente)"";138,2;32,5;29,3;42,8;33,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Gulpen-Wittem"";6,6;40,6;37,1;57,9;49,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Haaksbergen"";10,4;43,9;38;65,5;52,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Haarlem"";80;43,6;38,4;61,6;48,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Haarlemmermeer"";68,8;45,9;41,2;68,9;58,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Halderberge"";13,5;41,5;37,5;61,3;51,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hardenberg"";25,6;41,1;37,2;62,1;53,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Harderwijk"";21,4;42,4;37,8;62,2;52,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hardinxveld-Giessendam"";7,4;43,8;38;67,8;55,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Harlingen"";7,8;36,6;32,7;50,9;42,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hattem"";5,3;43,8;39;66,2;55,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heemskerk"";17,6;41,5;38,3;60,4;51,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heemstede"";12,2;59,1;45,1;88,2;60,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heerde"";8;43,2;38,3;64,9;55,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heerenveen"";23,8;40,9;35,4;58,7;46,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heerlen"";45,7;34;30,7;45,7;37,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heeze-Leende"";7,2;50,3;42,7;74,7;60,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heiloo"";11,1;49,1;41,9;71,8;56,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Den Helder"";27,5;37,3;34,8;51,5;43,6
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hellendoorn"";14,9;42,7;37,8;64,6;53,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Helmond"";43,2;39,6;35,3;57,9;47,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hendrik-Ido-Ambacht"";12,8;47;41,5;73,1;62,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hengelo (O.)"";39,6;38,1;34,9;54;44,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""'s-Hertogenbosch"";77;43,6;37,6;61,9;48,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heumen"";7,4;46,7;41;68,6;56,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Heusden"";19,9;44,8;38,9;66,9;54,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hillegom"";10,3;42,3;38,8;61,5;52,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hilvarenbeek"";6,8;47,1;41,5;70,6;59,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hilversum"";44,5;44,7;37,5;64;47,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hoeksche Waard"";38,7;50;40,3;74,1;56,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hof van Twente"";15,3;42,9;38,3;63,9;53,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Het Hogeland"";21,8;37,1;34,5;53,3;45,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hollands Kroon"";21,9;41,1;37,3;60,5;50,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hoogeveen"";25;37,8;34,2;54,6;45,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hoorn"";34,5;43,7;36,8;62,3;49
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Horst aan de Maas"";19,3;42,5;38,1;62,7;52,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Houten"";21,1;47,5;43,3;71,7;63,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Huizen"";18,7;51;38,9;74,4;51,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Hulst"";12,7;42,3;37,1;59,9;48,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""IJsselstein"";14,4;46,5;40,6;69,3;56,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Kaag en Braassem"";12,7;47,8;40,3;70,8;57
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Kampen"";23;39;36,3;58,8;51,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Kapelle"";5,5;42,5;39,3;63,6;55,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Katwijk"";27,2;43,4;38,6;66,1;55
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Kerkrade"";22,8;34;31,1;46,5;38,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Koggenland"";9,9;43,9;39,8;66,3;56,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Krimpen aan den IJssel"";12,5;43,2;37,3;64,7;51,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Krimpenerwaard"";24,5;45,2;38,8;67,8;54,4
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Laarbeek"";9,8;43,7;38,6;65,9;54,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Land van Cuijk"";39,5;42,3;38,3;62,7;53
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Landgraaf"";17,7;37,2;34,4;52,3;44,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Landsmeer"";4,9;52,6;41,9;77,9;59,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Lansingerland"";25,4;53,1;44,2;83;67,5
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Laren (NH.)"";5,1;154,4;45,4;219,3;60,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leeuwarden"";65,7;34,9;32,2;47,8;39,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leiden"";71,2;36,6;32,8;49,4;37,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leiderdorp"";12,6;44,4;40,4;64,2;54,2
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leidschendam-Voorburg"";37,3;45,5;39,7;64,4;50
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Lelystad"";36,7;38,6;35,7;56,5;48,3
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leudal"";16;42,3;38,5;61,7;52,8
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Leusden"";13,8;47,2;41,8;69,6;58,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Lingewaard"";20,1;42,9;39,2;64,4;55,7
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Lisse"";10,6;44,3;38,8;64,5;52,9
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Lochem"";15,3;51,9;39,4;75,4;54,1
""Particuliere huishoudens incl. studenten"";""Particuliere huishoudens"";""2024*"";""Loon op Zand"";10,4;43,1;38,6;63,8;54,2
